No,Kecamatan,Nama SPBU,Alamat,Latitude,Longitude
1,Binawidya,SPBU 14 282 6117,Jl. HR. Soebrantas No.62,0.46360,101.40640
2,Binawidya,SPBU Prima Putra Panam 2,"Jl. HR. Soebrantas, Simpang Baru",0.46511,101.37331
3,Bukit Raya,Harapan Raya Gas Station,"Jl. Imam Munandar, Tengkerang Labuai",0.50031,101.47134
4,Bukit Raya,SPBU Sudirman Atas,"Jl. Jend. Sudirman, Tengkerang Sel.",0.49145,101.45481
5,Bukit Raya,Pertamina Gas Station Simpang Tiga,"Jl. Kaharuddin Nst, Simpang Tiga",0.45454,101.45310
6,Kulim,SPBU Pertamina 14.282.696,"Jl. Lintas Sumatera, Kulim",0.46480,101.52670
7,Kulim,SPBU Pesantren 13.282.621,"Jl. Pesantren, Kulim, Tenayan Raya",0.46610,101.49380
8,Lima Puluh,SPBU Bismar 14.281.609,"Jl. Tanjung Batu, Pesisir",0.54160,101.45640
9,Lima Puluh,SPBU Pertamina 14.281.669,"Jl. Tanjung Batu No.80, Pesisir",0.54030,101.45020
10,Marpoyan Damai,SPBU Simpang Arifin Ahmad,"Jl. Arifin Ahmad, Tangkerang Tengah",0.47750,101.45300
11,Marpoyan Damai,SPBU Arifin Ahmad,"Jl. Arifin Ahmad No.45, Sidomulyo Tim.",0.47810,101.43090
12,Marpoyan Damai,SPBU Pertamina 13.282.634,"Jl. Soekarno-Hatta, Tengkerang Bar.",0.49700,101.41990
13,Marpoyan Damai,SPBU Pertamina 14.282.603,"Jl. Jend. Sudirman No.238a, Wonorejo",0.50480,101.45170
14,Marpoyan Damai,SPBU Paus Ujung,"Jl. Paus, Tangkerang Tengah, Marpoyan Damai",0.49090,101.43880
15,Marpoyan Damai,SPBU PRASEPTA,"Jl. Kaharuddin Nst, Perhentian Marpoyan",0.43340,101.44410
16,Marpoyan Damai,SPBU 14.282.608 Pasar Pagi Arengka,"Jl. Soekarno-Hatta, Sidomulyo Timur, Marpoyan Damai",0.46680,101.41870
17,Marpoyan Damai,SPBU Sidomulyo Timur,"Jl. Soekarno-Hatta, Sidomulyo Tim.",0.45360,101.41840
18,Marpoyan Damai,SPBU Pertamina 14.282.663,"Jl. Soekarno-Hatta, Sidomulyo Bar.",0.44810,101.41780
19,Payung Sekaki,Pertamina – Jl. Riau,"Jl. Riau No.41a, Air Hitam",0.53500,101.42250
20,Payung Sekaki,SPBU Pertamina Arengka,"Jl. Soekarno - Hatta, Labuh Baru Barat, Payung Sekaki",0.50510,101.41890
21,Payung Sekaki,SPBU 14.282625,"Jl.Lintas Sumatra, Payung Sekaki",0.53820,101.40350
22,Payung Sekaki,SPBU Tuanku Tambusai,"Jl. Tuanku Tambusai No.9, Labuh Baru Tim.",0.50350,101.42790
23,Payung Sekaki,Pertamina – Jl. Dharma Bakti,"Jl. Dharma Bakti, Labuh Baru Bar.",0.51680,101.41090
24,Pekanbaru Kota,SPBU-Pekanbaru Durian,"Jl. Durian, Kedungsari",0.51723,101.43216
25,Rumbai Barat,SPBU 14.282610 – Muara Fajar,"Jl. Lintas Sumatera, Muara Fajar, Rumbai",0.61254,101.42828
26,Rumbai Barat,SPBU Pekanbaru Rumbai,"Jl. Yos Sudarso, Limbungan Baru",0.56366,101.43234
27,Rumbai Timur,SPBU Sembilang 14.282.6115,"Jl. Sembilang, Lembah Sari",0.56366,101.44984
28,Sail,SPBU Thamrin,"Jl. MH Thamrin, Suka Maju, Sail",0.51604,101.45790
29,Senapelan,SPBU 14.282660 – Jl. Kulim,"Jl. Kulim, Kp. Baru",0.53859,101.42990
30,Senapelan,PERTAMINA – Kampung Bandar,"Jl. Panglima Udan, Kampung Bandar, Senapelan",0.53850,101.43897
31,Senapelan,SPBU Yos Sudarso,"Jl. Yos Sudarso, Kampung Baru, Senapelan",0.53813,101.43633
32,Senapelan,Pertamina – Jl. Cempaka,"Jl. Cempaka, Padang Bulan",0.52852,101.44014
33,Sukajadi,SPBU 13.282605 Dahlia,"Jl. Dahlia No.55, Harjosari",0.52450,101.43633
34,Sukajadi,SPBU 11.282604 Ababil,"Jl. Ababil No.10, Kp. Melayu",0.51592,101.43309
35,Sukajadi,SPBU 13.282605 Dahlia,"Jl. Dahlia, Harjosari",0.52452,101.43641
36,Tuah Madani,SPBU SM Amin 14-282.683,"Jl. SM Amin No.9, Simpang Baru",0.46930,101.39370
37,Tuah Madani,SPBU Simpang Stadion Utama,"Jl. SM Amin, Simpang Baru, Tampan",0.49107,101.39494
38,Tuah Madani,Pertamina Srikandi,"Jl. Srikandi No.9, Delima",0.48106,101.40690
39,Binawidya,SPBU 14282682 – Garuda Sakti,"Jl. Garuda Sakti, Simpang Baru",0.47930,101.36560
40,Tuah Madani,SPBU 13.282.614 – Suka Karya,"Jl. Suka Karya, Tuah Karya",0.44350,101.38580
41,Tenayan Raya,SPBU Hangtuah 14.282.6125,"Jl. Hangtuah No.153, Rejosari",0.52463,101.47516
42,Tenayan Raya,SPBU14.282.667,"Jl. Hangtuah No.14, Rejosari",0.51370,101.48980
43,Tenayan Raya,SPBU Imam Munandar 13.282.613,"Jl. Imam Munandar No.122B, Tengkerang Tim.",0.49720,101.48330
44,Tenayan Raya,SPBU Pertamina – Tengkerang Timur,"Jl. Bukit Barisan, Tengkerang Timur, Tenayan Raya",0.48380,101.50480
45,Tenayan Raya,SPBU 14282630 – Bencah Lesung,"Jl. Lintas Sumatera, Bencah Lesung",0.50018,101.50760
46,Binawidya,SPBU Modular Universitas Riau,"Jl. Binawidya UNRI, Simpang Baru",0.46630,101.38011